wn_synset	babelnet_id	pos	lemmata	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:07060697n	bn:00008208n	n	dance_music, danceroom_music, ballroom_music	a genre of popular music composed for ballroom dancing	1.0	3	6	YES
wn:07376257n	bn:00008250n	n	bang, clap, eruption, blast, bam	a sudden very loud noise	0.667	9	7	YES
wn:08249038n	bn:00008280n	n	band	instrumentalists not including string players	0.894	8	6	YES
wn:08249960n	bn:00008283n	n	dance_band, band, dance_orchestra	a group of musicians playing popular music for dancing	0.875	8	6	YES
wn:09837088n	bn:00008314n	n	bandit, brigand	an armed thief who is (usually) a member of a band	0.165	13	9	NO
wn:09837201n	bn:00008316n	n	bandleader	the leader of a dance band	0.946	12	8	YES
wn:09837360n	bn:00008317n	n	bandmaster	the conductor of a band	0.355	12	8	YES
wn:02786736n	bn:00008319n	n	bandoneon	a type of concertina popular in South America	0.448	15	11	YES
wn:09837459n	bn:00008320n	n	bandsman	a player in a band (especially a military band)	0.75	11	7	YES
wn:07376539n	bn:00008343n	n	banging	a continuing very loud noise	1.0	9	7	YES
wn:07053606n	bn:00008435n	n	scolion, banquet_song	a song (sometimes improvised) sung by guests at a banquet	0.148	3	7	YES
wn:06864725n	bn:00008465n	n	measure, bar	musical notation for a repeating pattern of musical beats	0.736	7	7	YES
wn:06800698n	bn:00008483n	n	bar_line	a vertical line before the accented beat marking the boundary between musical bars	0.752	6	6	YES
wn:10834439n	bn:00008533n	n	Barber, Samuel_Barber	United States composer (1910-1981)	0.547	12	8	NO
wn:08247400n	bn:00008541n	n	barbershop_quartet	an unaccompanied quartet of (usually male) voices singing sentimental songs in four-part harmony	0.47	9	7	YES
wn:11322178n	bn:00008549n	n	Streisand, Barbra_Streisand, Barbra_Joan_Streisand	United States singer and actress (born in 1942)	0.309	12	8	NO
wn:07049931n	bn:00008552n	n	barcarole, barcarolle	a boating song sung by Venetian gondoliers	0.738	3	7	YES
wn:09839436n	bn:00008586n	n	baritone, barytone	a male singer	0.913	12	8	YES
wn:06872562n	bn:00008587n	n	baritone, baritone_voice	the second lowest adult male singing voice	0.5	5	5	YES
wn:02793089n	bn:00008588n	n	baritone, baritone_horn	the second lowest brass wind instrument	0.629	14	10	YES
wn:07376731n	bn:00008595n	n	bark	a noise resembling the bark of a dog	0.25	9	7	NO
wn:10834869n	bn:00008632n	n	Barnum, P._T._Barnum, Phineas_Taylor_Barnum	United States showman who popularized the circus (1810-1891)	0.054	14	10	NO
wn:11378462n	bn:00008648n	n	Weber, Carl_Maria_von_Weber, Baron_Karl_Maria_Friedrich_Ernst_von_Weber	German conductor and composer of romantic operas (1786-1826)	0.447	12	8	NO
wn:11307082n	bn:00008654n	n	Snow, C._P._Snow, Charles_Percy_Snow, Baron_Snow_of_Leicester	English writer of novels about moral dilemmas in academe (1905-1980)	0.315	10	6	NO
wn:02795978n	bn:00008699n	n	barrel_organ, grind_organ, hand_organ, hurdy_gurdy, hurdy-gurdy, street_organ	a musical instrument that makes music by rotation of a cylinder studded with pegs	0.343	12	8	YES
wn:02795670n	bn:00008703n	n	barrelhouse, honky-tonk	a cheap drinking and dancing establishment	0.675	13	9	NO
wn:10837258n	bn:00008751n	n	Bartok, Bela_Bartok	Hungarian composer and pianist who collected Hungarian folk music; in 1940 he moved to the United States (1881-1945)	0.468	12	8	NO
wn:04986796n	bn:00008911n	n	bass	the lowest part of the musical range	0.712	8	6	YES
wn:07032292n	bn:00008912n	n	bass, bass_part	the lowest part in polyphonic music	1.0	3	7	YES
wn:09842528n	bn:00008913n	n	bass, basso	an adult male singer with the lowest voice	0.5	12	8	YES
wn:06872354n	bn:00008916n	n	bass, bass_voice, basso	the lowest adult male singing voice	0.875	5	5	YES
wn:02803539n	bn:00008919n	n	bass_clarinet	a large clarinet whose range is an octave below the B-flat clarinet	0.804	17	13	YES
wn:06862954n	bn:00008920n	n	bass_clef, F_clef	a clef that puts the F below middle C on the fourth line of a staff	0.713	8	8	YES
wn:02803666n	bn:00008921n	n	bass_drum, gran_casa	a large drum with two heads; makes a sound of indefinite but very low pitch	0.629	14	10	YES
wn:02803934n	bn:00008922n	n	bass_fiddle, bass_viol, bull_fiddle, double_bass, contrabass, string_bass	largest and lowest member of the violin family	0.69	13	9	YES
wn:02804123n	bn:00008923n	n	bass_guitar	the guitar with six strings that has the lowest pitch	0.678	13	9	YES
wn:04536595n	bn:00008925n	n	viola_da_gamba, gamba, bass_viol	viol that is the bass member of the viol family with approximately the range of the cello	0.483	15	11	YES
wn:02803809n	bn:00008931n	n	basset_horn	a tenor clarinet; pitched in the key of F below the B-flat clarinet	0.729	17	13	YES
wn:03510866n	bn:00008932n	n	heckelphone, basset_oboe	an oboe pitched an octave below the ordinary oboe	0.727	17	13	YES
wn:09842629n	bn:00008939n	n	bassist	a musician who play the bass viol	0.916	11	7	YES
wn:07032556n	bn:00008940n	n	figured_bass, basso_continuo, continuo, thorough_bass	a bass part written out in full and accompanied by numbers to indicate the chords to be played	0.867	4	8	YES
wn:09842716n	bn:00008943n	n	bassoonist	a musician who plays the bassoon	0.724	11	7	YES
wn:02809364n	bn:00009041n	n	baton, wand	a thin tapered rod used by a conductor to lead an orchestra or choir	0.569	12	8	YES
wn:05865454n	bn:00009262n	n	be-all_and_end-all, be_all_and_end_all	the essential factor; the all-important element; the supreme aim	0.5	11	9	NO
wn:07086518n	bn:00009396n	n	rhythm, beat, musical_rhythm	the basic rhythmic unit in a piece of music	0.544	7	5	YES
wn:08369920n	bn:00009414n	n	Beatles	a rock group from Liverpool who between 1962 and 1970 produced a variety of hit songs and albums (most of them written by Paul McCartney and John Lennon)	0.558	10	8	NO
wn:07063101n	bn:00009460n	n	bop, bebop	an early form of modern jazz (originating around 1940)	0.775	4	7	YES
wn:11305159n	bn:00009511n	n	Smetana, Bedrich_Smetana	Czech composer (1824-1884)	0.417	12	8	NO
wn:10841405n	bn:00009608n	n	Beethoven, van_Beethoven, Ludwig_van_Beethoven	German composer of instrumental music (especially symphonic and chamber music); continued to compose after he lost his hearing (1770-1827)	0.403	12	8	NO
wn:07278014n	bn:00009609n	n	Beethoven	the music of Beethoven	1.0	1	5	NO
wn:14498404n	bn:00009615n	n	befoulment, defilement, pollution	the state of being polluted	0.5	9	7	NO
wn:07054994n	bn:00009649n	n	beguine	music written in the bolero rhythm of the beguine dance	1.0	2	6	YES
wn:00546216n	bn:00009681n	n	bel_canto	a style of operatic singing	0.752	11	9	YES
wn:09849256n	bn:00009758n	n	bell_ringer	someone who plays musical handbells	0.667	11	7	YES
wn:11300326n	bn:00009773n	n	Sills, Beverly_Sills, Belle_Miriam_Silverman	United States operatic soprano (born in 1929)	0.502	13	9	NO
wn:10842923n	bn:00009783n	n	Bellini, Vincenzo_Bellini	Italian composer of operas (1801-1835)	0.621	12	8	NO
wn:06592421n	bn:00009907n	n	tribute_album, benefit_album	concept album compiling a performer's work or work supporting some worthy cause	0.868	13	9	YES
